"fecha_fallecimiento","sexo","agrp","dpt_cdc","prov_cdc","n"
"2020-04-13","M","45-64","LAMBAYEQUE","CHICLAYO",2
"2020-04-13","M","45-64","LAMBAYEQUE","FERREÑAFE",1
"2020-04-13","M","45-64","LAMBAYEQUE","LAMBAYEQUE",2
"2020-04-13","M","45-64","LIMA","HUAURA",1
"2020-04-13","M","45-64","LIMA","LIMA",18
"2020-04-13","M","45-64","PIURA","SULLANA",1
"2020-04-13","M","65+","ANCASH","SANTA",1
"2020-04-13","M","65+","AREQUIPA","AREQUIPA",1
"2020-04-13","M","65+","CAJAMARCA","JAEN",1
"2020-04-13","M","65+","CALLAO","CALLAO",6
"2020-04-13","M","65+","ICA","CHINCHA",1
"2020-04-13","M","65+","ICA","ICA",1
"2020-04-13","M","65+","JUNIN","HUANCAYO",1
"2020-04-13","M","65+","JUNIN","YAULI",1
